X,CL_CON_4179,CL_HFD_4113,CD_CON_4045,CD_HFD_4277
495,-15.13804,-9.972152,-14.34462,-13.54485
496,-16.54611,-10.10446,-14.94451,-13.24744
497,-17.15814,-10.39216,-15.9121,-13.68673
498,-17.63983,-10.89228,-16.23071,-14.35294
499,-17.5885,-11.45481,-16.74502,-15.30116
500,-17.31215,-12.45485,-17.20853,-17.41783
501,-17.94617,-12.90357,-18.45407,-20.31716
502,-20.53437,-13.92848,-19.96302,-22.92447
503,-22.76316,-14.81355,-22.34716,-25.76561
504,-25.50975,-15.94499,-24.84654,-27.77766
505,-29.17591,-17.40931,-27.65143,-29.68282
506,-31.57294,-18.91971,-29.33346,-30.09562
507,-32.09565,-19.8369,-30.30765,-30.58392
508,-31.10945,-20.20802,-30.45136,-30.3018
509,-29.28572,-20.00488,-29.42342,-28.8974
510,-26.60147,-19.99645,-27.77911,-26.83609
511,-24.09095,-19.43321,-25.84565,-23.61148
512,-21.33422,-18.96302,-23.45429,-20.11378
513,-17.85232,-18.24741,-20.89894,-17.08666
514,-14.22662,-16.91673,-17.84805,-14.56934
515,-10.40454,-15.57924,-14.54847,-10.95099
516,-5.611916,-14.02132,-11.31332,-6.102738
517,1.798361,-12.81142,-8.296741,1.040617
518,11.37017,-11.71147,-5.467076,10.05113
519,21.53339,-9.652943,-3.149869,18.79381
520,27.19532,-7.642587,0.5798775,28.01242
521,30.95947,-5.131142,6.40449,37.80784
522,38.18927,-0.2474787,14.56166,46.71617
523,45.43307,5.307555,22.54544,53.48439
524,52.80997,10.73453,29.89318,59.8293
525,60.09605,15.14825,34.36435,65.13383
526,68.14487,19.33856,38.77736,69.0747
527,75.34184,21.69508,43.56778,71.66622
528,81.23555,24.04955,48.07866,74.45045
529,84.6108,26.68938,51.96138,76.53467
530,85.71757,29.55963,55.9868,78.0759
531,85.10226,33.26979,61.63861,78.73559
532,83.4651,38.13632,67.43527,78.90211
533,81.99863,42.80584,73.802,79.74191
534,80.76596,47.42996,79.31876,80.63992
535,79.44733,52.05261,82.96925,81.3275
536,77.74476,55.81802,85.17683,81.78036
537,75.33231,59.05332,86.4165,81.25439
538,71.46513,61.62472,86.8642,78.67911
539,67.25291,64.00336,85.94025,73.79795
540,61.82463,65.26865,83.71915,67.51877
541,55.22969,65.80813,80.24581,60.0001
542,48.99591,64.81345,75.25457,52.48167
543,43.20192,62.08128,69.30137,45.30319
544,37.60788,58.14742,62.70018,40.45734
545,32.97117,53.26751,56.12645,37.04895
546,29.68262,47.56077,50.16483,34.55886
547,26.71372,41.78903,44.51453,33.15334
548,25.40719,36.23394,39.83105,32.75866
549,25.14911,31.6901,36.40132,32.12264
550,25.20899,27.39117,33.66415,31.53645
551,24.24243,23.44544,31.34932,30.66496
552,21.86219,19.98071,30.17914,29.07991
553,19.00133,17.31886,29.58209,27.04466
554,15.43593,15.36947,29.13208,24.28641
555,11.81645,14.0215,29.0665,21.17649
556,8.864774,12.86375,28.54926,17.18955
557,6.950788,12.25443,27.51139,13.88862
558,6.146971,11.75209,25.87375,11.2288
559,6.139477,10.71733,23.65788,9.72364
560,6.368834,9.954575,21.22689,9.985385
561,7.181704,8.779635,18.65145,10.80486
562,7.846277,7.822993,16.57064,11.67284
563,8.846026,6.621383,15.09431,11.22184
564,9.177339,5.646888,14.00915,10.40502
565,9.235309,4.435485,13.21193,8.555552
